x, y,th,stamp
-2.184345245,1.972546577,2.074122497,1.75952E+18
-2.161916494,1.96070087,2.04920875,1.75952E+18
-2.144334078,1.952103376,2.030226528,1.75952E+18
-2.126998425,1.943934917,2.010969556,1.75952E+18
-2.109592915,1.936089396,1.991734756,1.75952E+18
-2.091879845,1.928793311,1.971512609,1.75952E+18
-2.074033976,1.921822786,1.951146339,1.75952E+18
-2.0559268,1.915203929,1.932502721,1.75952E+18
-2.037694931,1.908686996,1.914151885,1.75952E+18
-2.013523579,1.900650144,1.88888176,1.75952E+18
-1.995069623,1.895044684,1.867471846,1.75952E+18
-1.976341128,1.889792442,1.847138569,1.75952E+18
-1.957723737,1.884773135,1.827422037,1.75952E+18
-1.93851316,1.880144,1.808773261,1.75952E+18
-1.920055866,1.875905395,1.791710387,1.75952E+18
-1.89488101,1.870909691,1.767196727,1.75952E+18
-1.88250351,1.868529439,1.753529569,1.75952E+18
-1.857352614,1.864529967,1.72680999,1.75952E+18
-1.838442802,1.861786723,1.707394957,1.75952E+18
-1.81976378,1.859522223,1.68887473,1.75952E+18
-1.800110698,1.857719064,1.670754479,1.75952E+18
-1.780459642,1.856121182,1.651001833,1.75952E+18
-1.761639357,1.855024099,1.631590621,1.75952E+18
-1.742213011,1.854064107,1.611631668,1.75952E+18
-1.72352314,1.853595257,1.592215153,1.75952E+18
-1.704264522,1.853501439,1.57392403,1.75952E+18
-1.678729773,1.853997588,1.549379502,1.75952E+18
-1.659290552,1.854796886,1.531072926,1.75952E+18
-1.639806867,1.855986476,1.512488469,1.75952E+18
-1.619914651,1.857604265,1.493125079,1.75952E+18
-1.601618171,1.859252095,1.474423196,1.75952E+18
-1.582361579,1.861333489,1.454137968,1.75952E+18
-1.563772082,1.863893628,1.434373078,1.75952E+18
-1.537948132,1.867999792,1.409608418,1.75952E+18
-1.519526482,1.871483088,1.393043279,1.75952E+18
-1.500779271,1.875029445,1.374912071,1.75952E+18
-1.481299996,1.879390121,1.35529296,1.75952E+18
-1.462411761,1.883834004,1.335052489,1.75952E+18
-1.444458485,1.888546109,1.315940942,1.75952E+18
-1.426076055,1.893687367,1.29653857,1.75952E+18
-1.407643437,1.899391413,1.277709527,1.75952E+18
-1.389247894,1.905151606,1.260839052,1.75952E+18
-1.365250707,1.913447976,1.237815929,1.75952E+18
-1.346651912,1.920159459,1.218929781,1.75952E+18
-1.32864058,1.927300334,1.19973022,1.75952E+18
-1.311652064,1.934250951,1.181198156,1.75952E+18
-1.294181108,1.94184947,1.161402744,1.75952E+18
-1.277026772,1.949620724,1.142233124,1.75952E+18
-1.259073138,1.958169222,1.123631651,1.75952E+18
-1.241358042,1.967017531,1.104960714,1.75952E+18
-1.21914947,1.978551984,1.080833482,1.75952E+18
-1.202333689,1.988073945,1.062343903,1.75952E+18
-1.185510993,1.997905135,1.042198618,1.75952E+18
-1.169548512,2.007416964,1.021830408,1.75952E+18
-1.153390408,2.017885685,1.003011198,1.75952E+18
-1.131518126,2.032347918,0.978566854,1.75952E+18
