e, e_dot, e_int, stamp, 
1.9329247326306607, -0.08992975158855832, 0.3759186629613955, builtin_interfaces.msg.Time(sec=1761339676, nanosec=523540183), 
1.9029832502534219, -0.10406487218230177, 0.4022751507801733, builtin_interfaces.msg.Time(sec=1761339676, nanosec=635895943), 
1.8770420868273947, -0.07696138119970336, 0.39575000044866754, builtin_interfaces.msg.Time(sec=1761339676, nanosec=731357508), 
1.8511688941952316, -0.09034418767442563, 0.36010410424673306, builtin_interfaces.msg.Time(sec=1761339676, nanosec=827740207), 
1.8253891434754281, -0.08915760119909566, 0.3550509711977695, builtin_interfaces.msg.Time(sec=1761339676, nanosec=923152540), 
1.7940502332314632, -0.10948588181629502, 0.37949819099544796, builtin_interfaces.msg.Time(sec=1761339677, nanosec=35851356), 
1.7674177791609516, -0.07877176535883519, 0.3745811348395707, builtin_interfaces.msg.Time(sec=1761339677, nanosec=131760894), 
1.7410747844425851, -0.09155500508672533, 0.3390275210793954, builtin_interfaces.msg.Time(sec=1761339677, nanosec=227661701), 
1.7097785347389403, -0.10877993169075507, 0.3637394686291508, builtin_interfaces.msg.Time(sec=1761339677, nanosec=340875826), 
1.6825262898535325, -0.08023805888593195, 0.35619674612796737, builtin_interfaces.msg.Time(sec=1761339677, nanosec=435826754), 
1.6551805761039364, -0.09599946107458807, 0.3198540788017989, builtin_interfaces.msg.Time(sec=1761339677, nanosec=530982812), 
1.6417410870905087, -0.04707876477126213, 0.2379064592586694, builtin_interfaces.msg.Time(sec=1761339677, nanosec=579159787), 
1.596182988681747, -0.31521349779475777, 0.340779647162522, builtin_interfaces.msg.Time(sec=1761339677, nanosec=739917428), 
1.5683141910711782, -0.057786361791181684, 0.41094173466969786, builtin_interfaces.msg.Time(sec=1761339677, nanosec=835665007), 
1.5410565034705508, -0.09489426220245008, 0.30074082939127367, builtin_interfaces.msg.Time(sec=1761339677, nanosec=931653098), 
1.5135285036855315, -0.0955951913695186, 0.29714947418570037, builtin_interfaces.msg.Time(sec=1761339678, nanosec=28498202), 
1.4862427254973465, -0.09391553130101103, 0.29088178886437405, builtin_interfaces.msg.Time(sec=1761339678, nanosec=123830696), 
1.4536121069328447, -0.11409407641044118, 0.30754607659854344, builtin_interfaces.msg.Time(sec=1761339678, nanosec=235675119), 
1.427459255022742, -0.07794413945313612, 0.30260746343338313, builtin_interfaces.msg.Time(sec=1761339678, nanosec=331698134), 
1.4061306574536625, -0.07403988015817377, 0.27579297496091065, builtin_interfaces.msg.Time(sec=1761339678, nanosec=428663208), 
1.3736146580151516, -0.11177907706751854, 0.2918804841824082, builtin_interfaces.msg.Time(sec=1761339678, nanosec=539827175), 
1.3470511106445853, -0.0796527510590619, 0.28480515349115415, builtin_interfaces.msg.Time(sec=1761339678, nanosec=635704063), 
1.322286215998043, -0.08609963312723219, 0.25847741853461625, builtin_interfaces.msg.Time(sec=1761339678, nanosec=731625707), 
1.2967102219820585, -0.08887807780547957, 0.25522767660006207, builtin_interfaces.msg.Time(sec=1761339678, nanosec=828763531), 
1.26808344097311, -0.09823424021024135, 0.26983718645581334, builtin_interfaces.msg.Time(sec=1761339678, nanosec=939882698), 
1.2425631805334816, -0.07655523083498432, 0.2626387598066076, builtin_interfaces.msg.Time(sec=1761339679, nanosec=35709271), 
1.2178454946185053, -0.08598062500185012, 0.2383076735073098, builtin_interfaces.msg.Time(sec=1761339679, nanosec=131628583), 
1.1946098380550612, -0.08074723111526687, 0.23387417521547377, builtin_interfaces.msg.Time(sec=1761339679, nanosec=227670686), 
1.178997115934701, -0.05418707571185433, 0.19192961554955987, builtin_interfaces.msg.Time(sec=1761339679, nanosec=291950585), 
1.1597252700594445, -0.09993713003633553, 0.1691881357058716, builtin_interfaces.msg.Time(sec=1761339679, nanosec=371321035), 
1.1228586798049038, -0.15482920177698647, 0.27659557657579925, builtin_interfaces.msg.Time(sec=1761339679, nanosec=531663801), 
1.1015050036486858, -0.04439172548684045, 0.2892149559928507, builtin_interfaces.msg.Time(sec=1761339679, nanosec=627710533), 
1.0763445569778958, -0.08732015532740868, 0.2283096589198218, builtin_interfaces.msg.Time(sec=1761339679, nanosec=739173501), 
1.05516041858906, -0.06335179826671467, 0.2252309066198067, builtin_interfaces.msg.Time(sec=1761339679, nanosec=836708564), 
1.0346119852422335, -0.07022579953914089, 0.2031277342212468, builtin_interfaces.msg.Time(sec=1761339679, nanosec=931643713), 
1.014049541250198, -0.07219821182716198, 0.19758098367725302, builtin_interfaces.msg.Time(sec=1761339680, nanosec=27680521), 
0.996790155748342, -0.059905453132289364, 0.1949579932384733, builtin_interfaces.msg.Time(sec=1761339680, nanosec=123692066), 
0.9783713003997656, -0.0639466685962136, 0.20728882842551344, builtin_interfaces.msg.Time(sec=1761339680, nanosec=235717520), 
0.9570779861963239, -0.06335855957474842, 0.20325149721856614, builtin_interfaces.msg.Time(sec=1761339680, nanosec=331640463), 
0.9377340101431848, -0.0672205399047549, 0.18347857671054596, builtin_interfaces.msg.Time(sec=1761339680, nanosec=427294483), 
0.917020715681142, -0.07218129972318585, 0.19461482637787375, builtin_interfaces.msg.Time(sec=1761339680, nanosec=539278875), 
0.8984841612158065, -0.055176006031672165, 0.19128254917995685, builtin_interfaces.msg.Time(sec=1761339680, nanosec=635720875), 
0.8807751784681823, -0.06120771291769223, 0.17289072500975994, builtin_interfaces.msg.Time(sec=1761339680, nanosec=731644714), 
0.8632655732086841, -0.06084551189094293, 0.16909082750757023, builtin_interfaces.msg.Time(sec=1761339680, nanosec=827685946), 
0.8459310264272913, -0.060163558298213654, 0.1668223070134462, builtin_interfaces.msg.Time(sec=1761339680, nanosec=924877291), 
0.8252761380467218, -0.07083925830559468, 0.17575567910475093, builtin_interfaces.msg.Time(sec=1761339681, nanosec=35724103), 
